FIPSTEXT,y17_M003
31101,1546.00
31103,1784.00
31105,1362.00
31107,628.00
31109,237.00
31111,1305.00
31113,2547.00
31115,2152.00
31117,4486.00
31119,536.00
31121,503.00
31123,1945.00
31125,587.00
31127,636.00
31129,829.00
31131,479.00
31133,593.00
31135,1330.00
31137,921.00
31139,550.00
31141,459.00
31143,581.00
31145,1319.00
31147,483.00
31149,2655.00
31151,503.00
31153,239.00
31155,429.00
31157,581.00
31159,385.00
31161,2974.00
31163,809.00
31165,4006.00
31167,466.00
31169,787.00
31171,4313.00
31173,751.00
31175,969.00
31177,332.00
31179,580.00
31181,810.00
31183,1662.00
31185,665.00
32001,496.00
32003,
32005,495.00
32007,4145.00
32009,
32011,6729.00
32013,3323.00
32015,2815.00
32017,399.00
32019,581.00
32021,
32023,442.00
32027,2145.00
32029,
32031,1420.00
32033,939.00
32510,57.00
33001,99.00
33003,114.00
33005,128.00
33007,172.00
33009,159.00
33011,73.00
33013,100.00
33015,52.00
33017,75.00
33019,113.00
34001,64.00
34003,14.00
34005,105.00
34007,47.00
34009,50.00
34011,118.00
34013,9.00
34015,85.00
34017,6.00
34019,63.00
34021,78.00
34023,74.00
34025,47.00
34027,35.00
34029,33.00
34031,21.00
34033,126.00
34035,79.00
34037,59.00
34039,8.00
34041,80.00
35001,177.00
35003,3697.00
35005,4140.00
35006,2490.00
35007,6819.00
35009,1407.00
35011,5231.00
35013,271.00
35015,2146.00
35017,2213.00
35019,4862.00
35021,5100.00
35023,5622.00
35025,3492.00
35027,3230.00
35028,
35029,2729.00
35031,1053.00
35033,1329.00
35035,2155.00
35037,2526.00
35039,947.00
35041,2021.00
35043,778.00
35045,861.00
35047,1940.00
35049,
35051,3939.00
35053,1387.00
35055,346.00
35057,2180.00
35059,5114.00
35061,381.00
36001,135.00
36003,205.00
36005,0.00
36007,126.00
36009,174.00
36011,267.00
36013,182.00
36015,168.00
36017,193.00
36019,275.00
36021,191.00
36023,212.00
36025,204.00
36027,164.00
36029,152.00
36031,202.00
36033,221.00
36035,107.00
36037,365.00
36039,170.00
36041,67.00
36043,198.00
36045,312.00
36047,1.00
36049,292.00
36051,287.00
36053,249.00
36055,203.00
36057,204.00
36059,28.00
36061,2.00
36063,203.00
36065,199.00
36067,258.00
36069,240.00
36071,131.00
36073,260.00
36075,141.00
36077,176.00
36079,84.00
36081,
36083,176.00
36085,
36087,41.00
36089,273.00
36091,121.00
36093,94.00
36095,185.00
36097,193.00
36099,230.00
36101,258.00
36103,54.00
36105,164.00
36107,212.00
36109,175.00
36111,140.00
36113,126.00
36115,202.00
36117,192.00
36119,61.00
36121,322.00
36123,133.00
37001,111.00
37003,100.00
37005,158.00
37007,207.00
37009,127.00
37011,82.00
37013,450.00
37015,459.00
37017,352.00
37019,193.00
37021,67.00
37023,76.00
37025,101.00
37027,92.00
37029,731.00
37031,397.00
37033,213.00
