,ZCTA,SSP_count
899,39630,0
900,42602,0
901,42603,0
902,48840,0
903,39631,0
904,48841,0
905,42629,1
906,42631,0
907,39633,0
908,39635,0
909,48842,0
910,39638,0
911,39641,0
912,39643,0
913,42633,0
914,48843,0
915,42634,0
916,48845,0
917,42635,0
918,42638,0
919,39645,0
920,39647,0
921,42642,0
922,48846,0
923,95968,0
924,95969,0
925,95970,0
926,95971,1
927,95973,0
928,95974,0
929,95975,0
930,95977,0
931,95978,0
932,95979,0
933,95981,0
934,95982,0
935,95983,0
936,95984,0
937,95986,0
938,95987,0
939,95988,0
940,95991,0
941,95993,0
942,96001,1
943,96002,0
944,96003,0
945,96006,0
946,96007,0
947,96008,0
948,96009,0
949,96010,0
950,96011,0
951,96013,0
952,96014,0
953,96015,0
954,96016,0
955,96017,0
956,96019,0
957,96020,0
958,96021,0
959,43788,0
960,23093,0
961,23102,0
962,49953,0
963,49955,0
964,23103,0
965,43793,0
966,23106,0
967,23108,0
968,49958,0
969,43802,0
970,49959,0
971,49960,0
972,23109,0
973,49961,0
974,23110,0
975,43804,0
976,43805,0
977,43811,0
978,49962,0
979,49963,0
980,49965,0
981,23111,0
982,49967,0
983,43812,0
984,49968,0
985,37723,0
986,37724,0
987,33825,0
988,33827,0
989,37725,0
990,37726,0
991,37727,0
992,37729,0
993,37730,0
994,37731,0
995,37732,0
996,37733,0
997,33830,0
998,37737,0
999,33834,0
1000,37738,0
1001,33837,0
1002,37742,0
1003,33838,0
1004,33839,0
1005,33841,0
1006,37743,0
1007,33843,0
1008,37745,0
1009,33844,0
1010,33847,0
1011,33848,0
1012,33849,0
1013,33850,0
1014,2651,0
1015,2652,0
1016,2653,0
1017,2655,0
1018,2657,1
1019,2659,0
